date,/m/0292d3_unscaled,/m/0292d3_monthly,isPartial,scale,/m/0292d3
2023-08-01,0,,,,
2023-08-02,0,,,,
2023-08-03,0,,,,
2023-08-04,0,,,,
2023-08-05,0,,,,
2023-08-06,0,2.0,False,0.02,0.0
2023-08-07,0,2.0,,0.02,0.0
2023-08-08,0,2.0,,0.02,0.0
2023-08-09,0,2.0,,0.02,0.0
2023-08-10,0,2.0,,0.02,0.0
2023-08-11,0,2.0,,0.02,0.0
2023-08-12,0,2.0,,0.02,0.0
2023-08-13,0,2.0,False,0.02,0.0
2023-08-14,0,2.0,,0.02,0.0
2023-08-15,0,2.0,,0.02,0.0
2023-08-16,0,2.0,,0.02,0.0
2023-08-17,100,2.0,,0.02,2.0
2023-08-18,0,2.0,,0.02,0.0
2023-08-19,0,2.0,,0.02,0.0
2023-08-20,0,2.0,False,0.02,0.0
2023-08-21,0,2.0,,0.02,0.0
2023-08-22,0,2.0,,0.02,0.0
2023-08-23,0,2.0,,0.02,0.0
2023-08-24,0,2.0,,0.02,0.0
2023-08-25,0,2.0,,0.02,0.0
2023-08-26,0,2.0,,0.02,0.0
2023-08-27,0,2.0,False,0.02,0.0
2023-08-28,0,2.0,,0.02,0.0
2023-08-29,0,2.0,,0.02,0.0
2023-08-30,0,2.0,,0.02,0.0
2023-08-31,0,2.0,,0.02,0.0
2023-09-01,0,2.0,,0.02,0.0
2023-09-02,0,2.0,,0.02,0.0
2023-09-03,0,1.0,False,0.01,0.0
2023-09-04,0,1.0,,0.01,0.0
2023-09-05,0,1.0,,0.01,0.0
2023-09-06,0,1.0,,0.01,0.0
2023-09-07,0,1.0,,0.01,0.0
2023-09-08,0,1.0,,0.01,0.0
2023-09-09,0,1.0,,0.01,0.0
2023-09-10,0,2.0,False,0.02,0.0
2023-09-11,0,2.0,,0.02,0.0
2023-09-12,0,2.0,,0.02,0.0
2023-09-13,0,2.0,,0.02,0.0
2023-09-14,0,2.0,,0.02,0.0
2023-09-15,0,2.0,,0.02,0.0
2023-09-16,0,2.0,,0.02,0.0
2023-09-17,0,2.0,False,0.02,0.0
2023-09-18,0,2.0,,0.02,0.0
2023-09-19,0,2.0,,0.02,0.0
2023-09-20,0,2.0,,0.02,0.0
2023-09-21,0,2.0,,0.02,0.0
2023-09-22,0,2.0,,0.02,0.0
2023-09-23,0,2.0,,0.02,0.0
2023-09-24,0,2.0,False,0.02,0.0
2023-09-25,0,2.0,,0.02,0.0
2023-09-26,0,2.0,,0.02,0.0
2023-09-27,0,2.0,,0.02,0.0
2023-09-28,100,2.0,,0.02,2.0
2023-09-29,0,2.0,,0.02,0.0
2023-09-30,0,2.0,,0.02,0.0
2023-10-01,0,2.0,False,0.02,0.0
2023-10-02,0,2.0,,0.02,0.0
2023-10-03,0,2.0,,0.02,0.0
2023-10-04,0,2.0,,0.02,0.0
2023-10-05,0,2.0,,0.02,0.0
2023-10-06,0,2.0,,0.02,0.0
2023-10-07,0,2.0,,0.02,0.0
2023-10-08,0,2.0,False,0.02,0.0
2023-10-09,0,2.0,,0.02,0.0
2023-10-10,0,2.0,,0.02,0.0
2023-10-11,0,2.0,,0.02,0.0
2023-10-12,65,2.0,,0.02,1.3
2023-10-13,64,2.0,,0.02,1.28
2023-10-14,0,2.0,,0.02,0.0
2023-10-15,0,2.0,False,0.02,0.0
2023-10-16,0,2.0,,0.02,0.0
2023-10-17,0,2.0,,0.02,0.0
2023-10-18,0,2.0,,0.02,0.0
2023-10-19,0,2.0,,0.02,0.0
2023-10-20,0,2.0,,0.02,0.0
2023-10-21,0,2.0,,0.02,0.0
2023-10-22,0,3.0,False,0.03,0.0
2023-10-23,0,3.0,,0.03,0.0
2023-10-24,84,3.0,,0.03,2.52
2023-10-25,100,3.0,,0.03,3.0
2023-10-26,0,3.0,,0.03,0.0
2023-10-27,0,3.0,,0.03,0.0
2023-10-28,0,3.0,,0.03,0.0
2023-10-29,0,2.0,False,0.02,0.0
2023-10-30,0,2.0,,0.02,0.0
2023-10-31,0,2.0,,0.02,0.0
2023-11-01,0,2.0,,0.02,0.0
2023-11-02,0,2.0,,0.02,0.0
2023-11-03,0,2.0,,0.02,0.0
2023-11-04,0,2.0,,0.02,0.0
2023-11-05,0,4.0,False,0.04,0.0
2023-11-06,43,4.0,,0.04,1.72
2023-11-07,43,4.0,,0.04,1.72
2023-11-08,58,4.0,,0.04,2.32
2023-11-09,70,4.0,,0.04,2.8000000000000003
2023-11-10,48,4.0,,0.04,1.92
2023-11-11,0,4.0,,0.04,0.0
2023-11-12,43,4.0,False,0.04,1.72
2023-11-13,43,4.0,,0.04,1.72
2023-11-14,36,4.0,,0.04,1.44
